U147,B109,4
U148,B109,5
U151,B109,2
U152,B109,2
U147,B110,3
U149,B110,2
U148,B111,5
U150,B112,3
U30,B112,2
U147,B113,5
U148,B113,4
U153,B113,4
U154,B113,3
U155,B113,4
U152,B113,3
U154,B114,3
U154,B117,3
U156,B118,4
U157,B118,4
U158,B118,3
U159,B118,2
U160,B118,3
U161,B118,4
U162,B118,4
U163,B118,3
U162,B118,4
U164,B118,4
U165,B118,4
U161,B118,3
U166,B118,4
U163,B118,3
U167,B118,3
U168,B118,5
U169,B118,4
U170,B118,4
U171,B118,3
U172,B118,4
U173,B118,4
U174,B118,4
U175,B118,3
U176,B118,4
U177,B118,4
U178,B118,5
U179,B118,4
U168,B118,5
U168,B118,5
U180,B118,4
U181,B118,4
U182,B118,4
U183,B118,5
U184,B118,3
U185,B118,4
U186,B118,2
U187,B118,5
U188,B118,2
U189,B118,4
U190,B118,3
U191,B118,1
U192,B118,5
U193,B118,2
U194,B118,3
U195,B118,4
U158,B119,3
U196,B119,1
U197,B119,4
U198,B120,4
U199,B120,4
U156,B120,2
U200,B120,4
U201,B120,4
U202,B120,5
U203,B120,4
U204,B120,5
U163,B120,4
U205,B120,5
U206,B120,4
U207,B120,4
U208,B120,4
U209,B120,4
U210,B120,4
U211,B120,4
U212,B120,5
U213,B120,4
U214,B120,3
U215,B120,4
U216,B120,2
U217,B120,4
U218,B120,3
U161,B120,2
U219,B120,5
U220,B120,4
U170,B120,4
U171,B120,4
U221,B120,4
U222,B120,4
U223,B120,2
U224,B120,2
U225,B120,3
U226,B120,5
U227,B120,4
U228,B120,4
U229,B120,4
U230,B120,4
U231,B120,4
U232,B120,4
U233,B120,5
U234,B120,5
U235,B120,3
U236,B120,4
U237,B120,3
U238,B120,5
U239,B120,3
U240,B120,2
U241,B120,5
U242,B120,4
U243,B120,5
U244,B120,4
U169,B120,4
U245,B120,3
U246,B120,3
U247,B120,4
U248,B120,4
U249,B120,4
U250,B120,1
U251,B120,5
U252,B120,4
U253,B120,4
U254,B120,4
U255,B120,4
U256,B120,4
U236,B120,4
U257,B120,4
U258,B120,4
U259,B120,4
U260,B120,4
U261,B120,3
U176,B120,5
U262,B120,4
U263,B120,5
U260,B120,5
U264,B120,3
U265,B121,4
U266,B121,3
U200,B121,4
U267,B121,4
U215,B121,2
U268,B121,4
U269,B121,4
U270,B121,2
U161,B121,3
U161,B121,3
U271,B121,5
U272,B121,4
U273,B121,3
U274,B121,3
U275,B121,3
U187,B121,4
U276,B121,4
U163,B121,3
U277,B121,3
U278,B121,4
U279,B121,5
U280,B121,2
U281,B121,1
U282,B121,2
U283,B121,2
U284,B121,4
U285,B121,2
U286,B122,1
U287,B122,3
U288,B122,1
U289,B122,2
U290,B122,1
U291,B122,3
U292,B122,4
U293,B122,3
U294,B122,4
U295,B122,4
U296,B122,2
U297,B122,4
U298,B122,3
U200,B122,4
U299,B122,2
U158,B122,4
U300,B122,2
U159,B122,3
U301,B122,4
U267,B122,5
U302,B122,3
U303,B122,4
U267,B122,1
U304,B122,3
U305,B122,4
U306,B123,3
U307,B123,3
U251,B123,3
U308,B123,3
U158,B123,2
U309,B123,2
U310,B123,3
U208,B123,2
U164,B123,3
U311,B123,3
U165,B123,3
U312,B123,3
U313,B123,4
U314,B123,4
U315,B123,1
U169,B123,3
U219,B123,3
U316,B124,1
U317,B124,4
U318,B124,5
U319,B124,4
U220,B125,3
U320,B125,1
U321,B125,2
U322,B125,2
U323,B125,3
U324,B125,3
U239,B125,2
U166,B125,3
U325,B125,2
U326,B125,4
U172,B125,3
U327,B125,3
U313,B125,2
U328,B125,5
U329,B125,3
U330,B125,3
U217,B125,1
U331,B125,3
U312,B125,3
U332,B125,3
U333,B125,2
U334,B125,4
U190,B125,3
U191,B125,3
U192,B125,4
U335,B125,4
U336,B125,3
U195,B125,3
U195,B125,3
U337,B125,2
U338,B126,4
U339,B126,4
U162,B126,4
U165,B126,4
U161,B126,3
U172,B126,4
U161,B126,3
U340,B126,3
U312,B126,4
U341,B126,3
U168,B126,1
U115,B126,4
U301,B126,3
U168,B126,1
U338,B127,4
U342,B127,1
U200,B128,4
U343,B128,2
U344,B128,3
U345,B128,2
U346,B128,1
U311,B128,3
U182,B128,3
U347,B128,3
U169,B128,4
U348,B128,3
U349,B128,4
U350,B128,3
U351,B128,3
U156,B129,1
U321,B129,4
U352,B129,4
U251,B129,3
U290,B129,5
U353,B129,4
U267,B129,3
U158,B129,2
U229,B129,4
U354,B129,5
U345,B129,4
U355,B129,4
U356,B129,4
U357,B129,2
U260,B129,4
U358,B129,4
U229,B129,1
U359,B129,4
U360,B129,4
U163,B129,3
U242,B129,5
U361,B129,4
U177,B129,5
U362,B129,5
U106,B129,4
U363,B129,2
U364,B129,3
U340,B129,4
U365,B129,4
U240,B129,4
U366,B129,5
U317,B129,5
U248,B129,4
U367,B129,3
U368,B129,5
U369,B129,4
U370,B129,4
U371,B129,4
U372,B129,4
U373,B129,4
U374,B129,5
U375,B129,2
U376,B129,5
U191,B129,3
U377,B129,5
U285,B129,4
U378,B129,5
U247,B129,4
U379,B129,4
U380,B129,2
U381,B129,5
U382,B129,2
U262,B129,4
U383,B129,5
U383,B129,5
U384,B129,1
U385,B130,4
U157,B130,4
U158,B130,3
U288,B130,5
U386,B130,3
U267,B130,4
U387,B130,5
U388,B130,3
U389,B130,4
U270,B130,3
U211,B130,5
U390,B130,4
U391,B130,5
U392,B130,4
U355,B130,5
U169,B130,3
U393,B130,5
U211,B130,5
U394,B130,3
U395,B130,5
U176,B130,4
U396,B130,4
U397,B130,2
U211,B130,4
U389,B130,5
U398,B130,5
U399,B130,4
U400,B130,4
U401,B130,4
U402,B130,5
U401,B130,5
U403,B130,4
U404,B130,4
U405,B130,1
U406,B130,5
U163,B130,4
U407,B130,4
U210,B130,4
U247,B130,4
U408,B130,5
U205,B130,5
U178,B130,2
U161,B130,3
U409,B130,4
U283,B130,5
U410,B130,4
U278,B130,4
U411,B130,5
U286,B131,5
U412,B131,4
U266,B131,3
U290,B131,4
U288,B131,3
U286,B131,4
U412,B131,3
U413,B131,2
U414,B131,2
U415,B131,3
U161,B131,3
U392,B131,2
U289,B131,3
U353,B131,4
U400,B131,4
U158,B131,2
U416,B131,5
U417,B131,1
U418,B131,2
U419,B131,4
U420,B131,4
U278,B131,4
U421,B131,5
U368,B131,2
U422,B131,5
U261,B131,3
U416,B131,2
U215,B131,4
U219,B132,4
U178,B132,5
U385,B133,5
U423,B133,5
U157,B133,5
U424,B133,5
U425,B133,5
U295,B133,3
U353,B133,5
U270,B133,5
U210,B133,5
U110,B133,4
U321,B133,5
U390,B133,4
U426,B133,5
U389,B133,5
U344,B133,4
U427,B133,4
U428,B133,5
U196,B133,3
U429,B133,5
U430,B133,4
U431,B133,4
U161,B133,4
U432,B133,4
U403,B133,5
U162,B133,4
U396,B133,5
U218,B133,5
U433,B133,5
U434,B133,5
U435,B133,5
U222,B133,5
U283,B133,5
U436,B133,4
U437,B133,5
U438,B133,5
U439,B133,4
U274,B133,4
U440,B133,5
U441,B133,4
U442,B133,5
U443,B133,3
U411,B133,5
U230,B133,4
U378,B133,5
U361,B133,4
U191,B133,4
U444,B133,5
U445,B133,5
U446,B133,3
U447,B134,4
U223,B134,4
U448,B134,4
U449,B134,5
U291,B135,4
U288,B135,4
U424,B135,4
U208,B135,5
U205,B135,5
U390,B135,5
U334,B135,4
U156,B135,2
U450,B135,4
U451,B135,4
U158,B135,4
U162,B135,4
U393,B135,3
U162,B135,4
U414,B135,3
U452,B135,2
U453,B135,5
U454,B135,4
U455,B135,2
U456,B135,3
U283,B135,3
U408,B135,4
U457,B135,4
U458,B135,4
U459,B135,3
U313,B135,2
U460,B135,5
U461,B135,3
U462,B135,5
U367,B135,4
U463,B136,2
U201,B136,5
U334,B136,5
U464,B136,5
U389,B136,5
U465,B136,5
U231,B136,4
U466,B136,4
U161,B136,3
U158,B136,4
U467,B136,4
U468,B136,5
U430,B136,4
U207,B136,3
U469,B136,2
U231,B136,4
U164,B136,4
U470,B136,3
U353,B136,4
U453,B136,5
U314,B136,4
U275,B136,4
U456,B136,3
U224,B136,5
U471,B136,5
U472,B136,5
U473,B136,4
U474,B136,5
U232,B136,4
U364,B136,1
U465,B136,5
U411,B136,5
U475,B136,4
U206,B136,4
U476,B136,5
U256,B136,4
U477,B136,5
U191,B136,5
U477,B136,5
U169,B136,4
U380,B136,4
U478,B136,5
U477,B136,5
U479,B136,4
U480,B136,4
U481,B136,3
U482,B136,5
U407,B136,4
U465,B136,4
U230,B136,5
U483,B136,5
U247,B136,4
U290,B137,5
U334,B137,4
U484,B137,4
U340,B137,4
U162,B137,3
U340,B137,4
U485,B137,5
U486,B137,4
U177,B137,4
U487,B137,5
U286,B138,4
U325,B138,5
U386,B138,2
U463,B138,4
U344,B138,5
U488,B138,5
U211,B138,5
U163,B138,4
U489,B138,4
U490,B138,4
U353,B138,4
U455,B138,5
U211,B138,5
U261,B138,3
U491,B138,4
U486,B138,4
U275,B138,3
U164,B138,5
U492,B138,4
U224,B138,5
U493,B138,3
U494,B138,5
U495,B138,5
U458,B138,2
U409,B138,4
U496,B138,4
U486,B138,4
U393,B138,4
U210,B138,4
U497,B138,4
U164,B138,5
U498,B138,5
U408,B138,5
U402,B138,4
U186,B138,4
U217,B138,4
U499,B138,4
U346,B138,3
U247,B138,4
U372,B138,5
U274,B138,3
U236,B138,4
U449,B138,5
U500,B138,5
U253,B138,4
U501,B138,5
U232,B138,4
U502,B138,5
U495,B138,5
U503,B138,5
U256,B138,5
U504,B138,5
U495,B138,5
U505,B138,2
U495,B138,5
U506,B138,5
U487,B138,4
U312,B138,5
U229,B140,5
U229,B140,5
U229,B140,5
U228,B140,2
U507,B140,3
U292,B141,4
U208,B141,3
U463,B141,4
U412,B141,4
U159,B141,5
U508,B141,3
U509,B141,2
U510,B141,3
U456,B141,1
U511,B141,4
U512,B141,1
U412,B141,3
U347,B141,2
U513,B141,5
U514,B141,3
U515,B141,3
U513,B141,5
U412,B143,4
U389,B143,4
U296,B143,5
U355,B143,3
U393,B143,3
U516,B143,4
U517,B143,4
U443,B143,4
U215,B143,3
U518,B144,2
U412,B144,4
U463,B144,4
U412,B144,4
U159,B144,4
U450,B144,5
U158,B144,4
U509,B144,5
U432,B144,4
U432,B144,5
U519,B144,2
U520,B144,4
U521,B144,4
U522,B144,5
U523,B144,3
U513,B144,3
U463,B144,4
U524,B144,5
U520,B144,3
U520,B144,3
U245,B144,4
U525,B144,2
U417,B144,1
U486,B144,3
U526,B144,2
U236,B144,4
U486,B144,4
U527,B144,4
U528,B144,3
U529,B144,4
U161,B144,4
U486,B144,4
U515,B144,3
U376,B144,4
U530,B144,4
U531,B144,5
U254,B144,1
U532,B144,1
U533,B144,3
U534,B144,4
U535,B144,4
U185,B144,2
U409,B144,4
U534,B144,5
U249,B144,4
U536,B144,3
U537,B144,4
U538,B144,4
U507,B144,4
U538,B144,3
U539,B144,4
U540,B144,5
U177,B144,4
U236,B144,3
U541,B144,4
U542,B144,4
U543,B144,3
U215,B144,4
U267,B145,4
U157,B145,4
U317,B145,4
U355,B146,3
U461,B146,5
U544,B147,4
U545,B147,3
U546,B147,4
U262,B147,5
U338,B148,3
U198,B148,4
U547,B148,2
U343,B148,4
U463,B148,1
U321,B148,3
U548,B148,1
U549,B148,3
U187,B148,4
U550,B148,3
U159,B148,2
U447,B148,2
U196,B148,3
U217,B148,3
U551,B148,2
U360,B148,3
U552,B148,3
U553,B148,3
U553,B148,2
U489,B148,3
U218,B148,3
U548,B148,1
U554,B148,2
U555,B148,4
U556,B148,2
U174,B148,4
U557,B148,1
U247,B148,2
U366,B148,5
U558,B148,2
U559,B148,4
U560,B148,4
U561,B148,4
U562,B148,3
U386,B148,2
U563,B148,2
U564,B148,3
U425,B148,3
U565,B148,2
U566,B148,2
U567,B148,5
U568,B148,2
U334,B148,3
U569,B148,3
U570,B148,3
U278,B148,3
U571,B148,1
U260,B148,4
U572,B148,3
U201,B149,4
U560,B149,1
U333,B149,3
U573,B149,3
U574,B149,1
U575,B150,1
U306,B150,4
U547,B150,3
U291,B150,5
U266,B150,2
U414,B150,1
U164,B150,5
U463,B150,4
U576,B150,4
U577,B150,4
U201,B150,4
U206,B150,4
U324,B150,4
U550,B150,5
U426,B150,3
U555,B150,4
U555,B150,4
U578,B150,4
U447,B150,4
U579,B150,4
U580,B150,4
U428,B150,3
U207,B150,4
U470,B150,1
U403,B150,4
U510,B150,4
U581,B150,4
U321,B150,4
U582,B150,3
U399,B150,4
U489,B150,4
U403,B150,4
U161,B150,3
U399,B150,4
U182,B150,4
U247,B150,4
U189,B150,4
U491,B150,4
U583,B150,3
U168,B150,5
U584,B150,4
U585,B150,4
U353,B150,3
U222,B150,5
U64,B150,5
U586,B150,1
U587,B150,4
U456,B150,3
U494,B150,5
U588,B150,4
U410,B150,4
U581,B150,4
U366,B150,3
U589,B150,5
U590,B150,4
U407,B150,4
U497,B150,3
U322,B150,3
U591,B150,5
U566,B150,4
U382,B150,4
U417,B150,4
U372,B150,4
U592,B150,4
U593,B150,4
U232,B150,4
U573,B150,5
U594,B150,5
U595,B150,4
U596,B150,4
U597,B150,2
U598,B150,4
U477,B150,4
U599,B150,2
U600,B150,3
U278,B150,4
U477,B150,4
U594,B150,5
U192,B150,4
U215,B150,4
U601,B150,5
U284,B150,5
U602,B150,3
U253,B150,3
U603,B150,3
U482,B150,3
U604,B150,3
U605,B150,5
U606,B150,3
U484,B150,3
U477,B150,4
U477,B150,4
U607,B150,4
U512,B150,5
U608,B150,4
U609,B150,5
U512,B150,5
U610,B150,3
U611,B150,2
U293,B151,2
U199,B151,2
U161,B151,3
U510,B151,4
U64,B151,4
U273,B151,4
U168,B151,1
U612,B151,4
U535,B151,3
U613,B151,4
U293,B152,4
U251,B152,3
U463,B152,1
U229,B152,4
U614,B152,3
U196,B152,1
U521,B152,4
U585,B152,4
U581,B152,4
U585,B152,5
U399,B152,2
U393,B152,3
U427,B152,3
U615,B152,5
U616,B152,5
U617,B152,4
U618,B152,4
U619,B152,5
U260,B152,4
U395,B152,3
U620,B152,4
U178,B152,4
U218,B152,3
U621,B152,4
U481,B152,5
U622,B152,4
U556,B152,4
U623,B152,3
U446,B152,5
U318,B152,5
U624,B152,5
U625,B152,4
U626,B152,4
U285,B152,2
U444,B152,4
U187,B153,3
U385,B154,3
U428,B154,2
U627,B154,4
U627,B154,3
U301,B154,5
U215,B154,3
U573,B154,4
U338,B155,4
U163,B155,1
U344,B155,2
U164,B155,2
U615,B155,2
U628,B155,3
U330,B155,3
U629,B155,5
U630,B155,2
U421,B155,3
U627,B156,4
U231,B156,3
U631,B156,4
U215,B156,3
U218,B156,2
U632,B156,3
U547,B157,1
U291,B157,1
U317,B157,1
U633,B157,3
U205,B157,3
U634,B157,3
U164,B157,1
U635,B157,4
U552,B157,1
U616,B157,3
U636,B157,1
U637,B157,1
U343,B157,4
U638,B157,2
U223,B157,1
U639,B157,5
U640,B158,3
U198,B158,3
U199,B159,3
U198,B159,3
U338,B159,3
U320,B159,4
U163,B159,4
U634,B159,4
U196,B159,1
U641,B159,4
U642,B159,4
U643,B159,3
U644,B159,4
U455,B159,4
U361,B159,2
U237,B159,4
U301,B159,2
U645,B159,5
U189,B159,3
U646,B159,4
U647,B159,4
U169,B159,4
U168,B159,4
U278,B159,5
U625,B159,4
U648,B159,2
U649,B159,4
U650,B159,4
U648,B159,4
U651,B159,4
U652,B159,4
U653,B159,5
U369,B159,3
U609,B159,4
U215,B160,4
U416,B160,3
U587,B160,4
U375,B160,2
U483,B160,5
U621,B161,4
U325,B161,5
U189,B161,2
U425,B161,3
U654,B161,4
U366,B161,5
U168,B161,2
U64,B161,4
U655,B161,4
U321,B162,4
U291,B162,5
U385,B162,3
U267,B162,4
U413,B162,2
U345,B162,5
U317,B162,4
U656,B162,1
U646,B162,3
U215,B162,3
U325,B162,2
U641,B162,4
U357,B162,4
U291,B162,5
U182,B162,4
U218,B162,3
U489,B162,1
U218,B162,3
U236,B162,4
U425,B162,3
U657,B162,4
U658,B162,5
U218,B162,4
U659,B162,3
U659,B162,4
U660,B162,3
U661,B162,4
U580,B162,4
U581,B162,4
U64,B162,3
U622,B162,4
U662,B162,2
U663,B162,4
U664,B162,5
U665,B162,4
U369,B162,4
U666,B162,5
U630,B162,4
U667,B162,4
U280,B162,5
U668,B162,5
U512,B162,5
U483,B162,4
U669,B162,3
U628,B162,4
U670,B162,1
U671,B163,4
U585,B163,5
U199,B164,4
U547,B164,4
U672,B164,3
U435,B164,4
U673,B164,4
U673,B164,4
U399,B164,4
U653,B164,4
U674,B165,4
U675,B165,4
U657,B165,5
U399,B165,4
U676,B166,2
U677,B166,3
U672,B167,1
U672,B167,1
U678,B167,5
U679,B167,4
U157,B168,4
U633,B168,2
U680,B168,5
U218,B168,3
U680,B168,5
U589,B168,5
U331,B168,4
U681,B168,1
U218,B168,2
U677,B168,4
U538,B168,1
U682,B168,3
U477,B168,1
U589,B168,5
U338,B169,3
U683,B169,1
U345,B169,2
U672,B170,4
U380,B170,3
U269,B170,4
U677,B170,5
U484,B170,3
U416,B170,3
U364,B170,3
U285,B170,3
U371,B170,4
U581,B170,4
U477,B170,2
U332,B170,5
U158,B171,3
U345,B171,2
U641,B171,4
U428,B171,2
U684,B171,2
U169,B171,4
U545,B171,4
U247,B171,2
U685,B171,3
U168,B171,1
U380,B171,3
U686,B171,5
U672,B171,3
U672,B171,1
U477,B171,3
U687,B171,3
U672,B172,1
U157,B172,2
U641,B172,3
U688,B172,1
U688,B172,4
U375,B172,1
U689,B173,2
U216,B173,3
U690,B173,3
U395,B173,4
U456,B173,1
U690,B173,1
U531,B173,5
U691,B174,4
U533,B174,4
U439,B174,4
U490,B174,5
U574,B174,4
U692,B174,5
U402,B174,5
U226,B174,4
U301,B174,3
U399,B174,3
U442,B174,4
U491,B174,4
U185,B174,2
U366,B174,5
U693,B174,5
U630,B174,4
U694,B174,4
U589,B174,3
U546,B174,4
U695,B174,5
U289,B175,5
U684,B175,4
U696,B175,4
U697,B175,5
U698,B176,5
U338,B176,4
U198,B176,4
U297,B176,2
U423,B176,5
U265,B176,4
U300,B176,4
U317,B176,4
U533,B176,4
U699,B176,4
U584,B176,3
U182,B176,4
U435,B176,3
U513,B176,5
U700,B176,5
U485,B176,4
U701,B176,3
U173,B176,3
U399,B176,4
U693,B176,5
U702,B176,5
U703,B176,2
U537,B176,5
U704,B176,1
U349,B176,4
U695,B176,4
U705,B176,5
U706,B176,1
U157,B177,3
U163,B177,3
U676,B177,3
U413,B177,4
U643,B177,3
U428,B177,3
U196,B177,4
U435,B177,4
U707,B177,4
U511,B178,3
U439,B178,4
U478,B178,4
U130,B178,1
U199,B179,4
U491,B179,3
U182,B179,3
U708,B179,2
U581,B179,4
U247,B179,5
U697,B179,5
U484,B179,4
U452,B179,2
U182,B179,2
U709,B179,4
U275,B179,3
U447,B179,3
U247,B179,4
U710,B179,4
U711,B179,4
U285,B179,4
U513,B179,1
U712,B179,4
U477,B179,4
U247,B179,5
U395,B179,3
U713,B179,4
U681,B179,5
U653,B179,5
U477,B179,4
U196,B180,1
U714,B180,4
U285,B180,1
U715,B180,2
U716,B180,4
U332,B180,3
U312,B181,4
U476,B181,5
U491,B181,3
U285,B181,3
U332,B181,3
U332,B181,3
U650,B181,3
U262,B181,4
U717,B182,5
U717,B182,5
U435,B182,4
U360,B182,1
U476,B182,5
U718,B182,3
U259,B182,5
U482,B182,4
U446,B182,4
U380,B182,2
U248,B182,4
U285,B182,3
U332,B182,3
U447,B182,3
U240,B182,4
U369,B182,1
U483,B182,1
U491,B183,2
U157,B183,3
U64,B183,4
U157,B183,1
U220,B183,3
U718,B183,3
U634,B183,4
U678,B183,4
U689,B183,3
U272,B183,2
U182,B183,3
U699,B183,3
U719,B183,3
U435,B183,4
U700,B183,2
U546,B183,3
U439,B183,4
U720,B183,5
U721,B183,4
U704,B183,5
U189,B183,3
U249,B183,4
U625,B183,3
U722,B183,4
U480,B183,4
U722,B183,5
U650,B183,4
U438,B183,5
U695,B183,4
U262,B183,5
U589,B183,4
U289,B184,3
U506,B184,4
U709,B184,3
U723,B184,3
U584,B184,4
U587,B184,1
U717,B184,4
U581,B184,4
U724,B184,4
U338,B185,4
U725,B185,3
U477,B185,3
U726,B185,4
U265,B186,3
U386,B186,2
U727,B186,5
U251,B186,3
U187,B186,2
U267,B186,4
U357,B186,4
U728,B186,3
U579,B186,3
U386,B186,3
U729,B186,3
U322,B186,4
U314,B186,5
U643,B186,4
U730,B186,3
U731,B186,2
U224,B186,3
U541,B186,3
U732,B186,4
U733,B186,4
U602,B186,4
U204,B186,4
U236,B186,2
U247,B186,3
U481,B186,3
U411,B186,5
U305,B186,3
U648,B186,1
U565,B186,4
U369,B186,2
U734,B186,4
U686,B186,5
U735,B186,4
U629,B186,3
U589,B186,5
U736,B186,3
U338,B187,4
U306,B187,3
U295,B187,3
U414,B187,3
U270,B187,1
U390,B187,3
U737,B187,3
U689,B187,1
U709,B187,4
U738,B187,5
U647,B187,3
U312,B187,2
U553,B187,3
U184,B187,4
U489,B187,4
U443,B187,2
U739,B187,4
U443,B187,2
U325,B187,3
U443,B187,2
U740,B187,4
U259,B187,5
U732,B187,5
U439,B187,4
U373,B187,5
U644,B187,3
U741,B187,5
U742,B187,4
U301,B187,4
U447,B187,4
U743,B187,3
U744,B187,3
U745,B187,4
U218,B187,3
U425,B187,5
U247,B187,3
U234,B187,4
U655,B187,4
U236,B187,4
U312,B187,3
U746,B187,3
U747,B187,3
U305,B187,4
U322,B187,5
U238,B187,4
U748,B187,4
U749,B187,3
U322,B187,5
U493,B187,2
U750,B187,5
U751,B187,3
U322,B187,4
U752,B187,1
U207,B187,2
U753,B187,3
U700,B187,5
U754,B187,5
U755,B187,2
U756,B187,5
U725,B187,2
U735,B187,5
U744,B187,4
U757,B187,4
U169,B187,5
U758,B187,3
U545,B187,4
U609,B187,4
U653,B187,4
U687,B187,4
U385,B188,4
